@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,9,11,13,14,16,17,18,19,20,21,22,24,25,26,27,29,35,38,39,40'

@attribute ft1 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
437,94,94,140,62,110,125,109,62,94,62,78,109,125,78,62,4296,2
15,62,94,78,62,203,78,63,94,109,62,109,78,16,63,78,3310,2
110,47,94,140,78,79,125,109,62,94,62,78,109,78,78,62,4249,2
4369,166,90,80,110,96,47,78,69,111,41,63,109,81,69,61,8445,2
4,49,78,78,65,94,58,150,78,94,94,141,141,79,63,78,4213,2
6,21,90,80,103,94,47,78,69,111,41,63,109,78,69,61,3365,2
156,172,109,172,109,156,110,78,156,63,141,78,125,15,78,125,4252,2
15,62,156,78,109,109,78,63,110,47,62,109,62,410,172,125,3846,2
78,109,109,172,109,125,110,78,156,63,141,78,125,125,78,125,5502,2
32,0,93,187,78,94,16,78,94,78,47,63,78,20,16,93,3638,2
32,16,62,62,78,47,47,63,94,31,63,109,15,32,46,125,3279,2
78,16,93,187,63,47,16,78,94,78,47,63,78,125,16,93,3657,2
141,94,78,62,47,109,547,1015,79,125,62,63,62,62,47,78,4983,2
78,125,62,78,78,109,31,62,93,110,93,188,485,47,62,63,5531,2
109,125,78,62,109,94,547,1015,79,125,62,63,62,63,47,78,5221,2
125,109,125,109,125,78,63,109,78,93,203,94,78,47,31,78,3750,2
16,63,94,110,187,78,78,78,109,110,62,94,62,78,31,94,3373,2
0,15,125,109,110,93,63,109,78,93,203,94,78,94,31,78,5093,2
47,93,94,79,140,78,31,79,125,62,109,110,94,31,16,78,3298,2
16,47,78,78,124,62,63,93,79,93,140,78,0,62,32,62,3122,2
31,110,94,79,125,78,31,79,125,62,109,110,94,62,16,78,3749,2
31,46,79,140,90,93,47,78,94,94,47,78,78,16,16,78,2996,2
0,579,78,94,93,63,63,78,78,94,78,94,31,78,16,94,3220,2
16,32,79,140,125,78,47,78,94,94,47,78,78,94,16,78,3423,2
343,188,47,78,79,156,94,156,63,109,62,110,31,47,31,47,3952,2
0,94,93,63,141,125,32,47,62,125,63,140,94,16,47,62,3300,2
47,94,47,78,110,63,94,156,63,109,62,110,31,62,31,47,4171,2
31,47,94,172,100,109,78,62,141,62,125,110,94,16,47,62,3582,2
32,31,93,78,110,109,47,46,109,31,110,110,47,16,62,79,3159,2
109,78,94,172,125,94,78,62,141,62,125,110,94,79,47,62,5580,2
78,63,62,78,79,94,109,94,78,93,63,63,62,47,47,62,3012,2
62,63,63,63,62,125,62,63,78,94,63,79,78,78,62,63,3267,2
78,47,62,78,63,843,109,94,78,93,63,63,62,63,47,62,3780,2
47,16,78,125,47,16,15,78,47,63,109,16,62,16,0,31,3142,2
16,16,16,32,47,63,31,78,31,62,79,78,62,0,94,16,3721,2
156,0,78,125,62,0,15,78,47,63,109,16,62,16,0,31,3562,2
32,94,62,78,62,109,141,79,79,78,78,78,93,94,31,79,4392,2
16,141,93,94,78,93,94,78,78,110,78,141,94,78,94,94,3658,2
78,79,62,78,94,78,141,79,79,78,78,78,93,94,31,79,3643,2
109,93,63,78,63,109,156,109,78,94,63,78,78,78,78,63,3596,2
47,78,62,62,78,125,63,78,63,109,78,156,125,63,62,47,3406,2
62,109,63,78,47,78,156,109,78,94,63,78,78,47,78,63,3410,2
47,46,156,78,180,47,78,62,31,109,47,46,0,31,31,63,3397,2
15,110,15,47,187,63,94,63,15,125,46,1390,141,16,0,63,4740,2
47,15,156,78,172,1312,78,62,31,109,47,46,0,63,31,63,7215,2
79,94,78,109,125,125,63,94,141,0,62,15,32,31,32,93,3421,2
125,109,47,31,125,15,94,46,63,172,16,0,500,78,93,78,3729,2
31,78,78,109,94,109,63,94,141,0,62,15,32,78,32,93,3667,2
