@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,7,8,9,15,17,18,19,21,23,24,25,26,27,29,33,34,35,37,38,39,40,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
62,110,297,16,203,0,47,32,16,78,157,125,94,78,78,110,1
94,78,110,109,203,203,78,78,47,110,156,125,109,63,93,78,1
500,15,125,47,62,0,15,125,109,110,79,94,78,110,172,94,1
93,375,110,109,203,0,47,78,31,78,156,125,109,63,93,78,1
156,47,109,31,78,78,32,47,47,78,94,62,47,125,63,16,1
78,156,31,156,16,531,625,62,79,31,31,62,94,0,31,0,1
78,156,109,31,78,671,193,15,32,16,94,62,47,125,63,16,1
110,15,110,31,125,125,31,125,125,203,125,93,47,141,63,47,1
47,31,16,110,94,0,0,93,16,16,47,79,0,93,156,93,1
32,62,110,31,125,657,720,63,78,94,125,93,47,141,63,47,1
94,62,63,172,78,78,31,62,79,63,40,106,47,125,62,62,1
78,47,79,62,63,78,250,106,93,78,47,31,78,109,13,62,1
63,62,63,172,78,62,188,27,140,74,40,106,47,125,62,62,1
78,78,109,79,109,109,31,63,234,110,141,109,140,16,63,62,2
78,47,125,63,62,0,31,109,109,78,78,63,109,16,94,78,2
78,16,109,79,109,0,16,93,109,63,141,109,140,16,63,62,2
375,16,94,156,250,250,31,47,62,109,156,62,94,62,78,110,2
94,31,47,47,62,0,32,62,125,78,63,63,79,78,266,78,2
171,63,94,156,250,62,94,32,15,109,156,62,94,62,78,110,2
109,47,94,141,250,250,47,94,47,47,63,78,32,141,16,78,2
63,15,78,172,16,0,47,78,125,94,15,78,31,94,125,110,2
32,93,94,141,250,906,1000,78,203,91,63,78,32,141,16,78,2
62,16,78,31,109,109,31,32,32,62,16,359,218,47,62,63,2
47,359,62,16,47,0,15,359,47,62,62,94,94,15,16,47,2
63,78,78,31,109,0,31,59,78,62,16,359,218,47,62,63,2
172,437,94,31,140,140,31,94,16,94,125,109,62,94,109,62,2
219,15,94,62,78,0,16,109,109,94,78,63,94,109,78,78,2
140,110,94,31,140,109,16,63,16,62,125,109,62,94,109,62,2
57,4369,90,63,80,80,442,65,36,79,47,78,69,111,109,61,2
192,4,78,31,78,70,411,78,24,94,58,150,78,94,141,78,2
74,6,90,63,80,73,185,109,73,47,47,78,69,111,109,61,2
110,156,109,63,172,172,47,63,78,109,110,78,156,63,125,125,2
94,15,156,16,78,0,31,78,94,110,78,63,110,47,62,125,2
187,78,109,63,172,0,15,47,172,141,110,78,156,63,125,125,2
93,32,93,32,187,187,0,93,31,78,16,78,94,78,78,93,2
125,32,62,16,62,110,31,78,117,94,47,63,94,31,15,125,2
78,78,93,32,187,109,47,16,15,94,16,78,94,78,78,93,2
62,141,78,219,62,62,31,46,109,94,547,1015,79,125,62,78,2
62,78,62,63,78,63,94,1015,125,63,31,62,93,110,485,63,2
31,109,78,219,62,47,78,79,219,63,547,1015,79,125,62,78,2
109,125,125,63,109,109,47,78,0,94,63,109,78,93,78,78,2
94,16,94,31,110,78,78,109,62,109,78,78,109,110,62,94,2
125,0,125,63,109,93,78,78,31,94,63,109,78,93,78,78,2
93,47,94,31,79,79,31,47,16,110,31,79,125,62,94,78,2
94,16,78,32,78,98,59,79,94,94,63,93,79,93,0,62,2
79,31,94,31,79,94,31,62,16,78,31,79,125,62,94,78,2
94,31,79,15,140,140,47,78,0,110,47,78,94,94,78,78,2
94,0,78,32,94,0,16,78,140,78,63,78,78,94,31,94,2
62,16,79,15,140,0,63,0,31,109,47,78,94,94,78,78,2
63,343,47,62,78,78,125,47,16,156,94,156,63,109,31,47,2
63,0,93,47,63,125,62,156,62,78,32,47,62,125,94,62,2
203,47,47,62,78,79,46,78,16,47,94,156,63,109,31,47,2
140,31,94,62,172,172,15,78,46,94,78,62,141,62,94,62,2
125,32,93,32,78,94,46,62,141,94,47,46,109,31,47,79,2
31,109,94,62,172,78,94,141,15,516,78,62,141,62,94,62,2
63,78,62,63,78,78,62,62,78,78,109,94,78,93,62,62,2
78,62,63,78,63,63,125,94,125,63,62,63,78,94,78,63,2
94,78,62,63,78,47,125,0,78,78,109,94,78,93,62,62,2
109,47,78,47,125,125,47,110,16,78,15,78,47,63,62,31,2
47,16,16,93,32,484,500,78,47,16,31,78,31,62,62,16,2
94,156,78,47,125,0,47,78,78,78,15,78,47,63,62,31,2
94,32,62,157,78,78,172,63,78,94,141,79,79,78,93,79,2
94,16,93,0,94,109,157,79,141,110,94,78,78,110,94,94,2
110,78,62,157,78,47,156,62,63,79,141,79,79,78,93,79,2
94,109,63,94,78,78,187,63,62,63,156,109,78,94,78,63,2
94,47,62,63,62,63,62,109,94,78,63,78,63,109,125,47,2
63,62,63,94,78,63,140,63,47,62,156,109,78,94,78,63,2
78,47,156,0,78,78,78,78,16,266,78,62,31,109,0,63,2
94,15,15,78,47,141,47,62,47,156,94,63,15,125,141,63,2
47,47,156,0,78,0,15,94,94,31,78,62,31,109,0,63,2
62,79,78,62,109,109,31,63,141,110,63,94,141,0,32,93,2
78,125,47,78,31,110,31,94,78,156,94,46,63,172,500,78,2
78,31,78,62,109,0,0,0,47,63,63,94,141,0,32,93,2
