@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,34,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,62,63,172,78,106,47,125,63,63,78,79,62,1
78,47,63,62,63,31,78,109,63,63,62,141,62,1
63,62,62,172,78,106,47,125,63,62,78,79,62,1
78,78,109,79,109,109,140,16,62,32,63,16,62,2
78,47,93,63,62,63,109,16,78,78,78,16,78,2
78,16,78,79,109,109,140,16,62,78,63,16,62,2
375,16,62,156,250,62,94,62,94,156,93,47,110,2
94,31,63,47,62,63,79,78,62,16,110,31,78,2
171,63,94,156,250,62,94,62,94,78,93,47,110,2
109,47,78,141,250,78,32,141,31,16,63,31,78,2
63,15,94,172,16,78,31,94,31,16,63,31,110,2
32,93,62,141,250,78,32,141,31,110,63,31,78,2
62,16,62,31,109,359,218,47,16,16,47,46,63,2
47,359,63,16,47,94,94,15,62,16,63,47,47,2
63,78,78,31,109,359,218,47,16,47,47,46,63,2
172,437,78,31,140,109,62,94,62,125,78,78,62,2
219,15,94,62,78,63,94,109,62,16,78,63,78,2
140,110,94,31,140,109,62,94,62,78,78,78,62,2
57,4369,69,63,80,78,69,111,41,81,33,69,61,2
192,4,98,31,78,150,78,94,94,79,78,63,78,2
74,6,79,63,80,78,69,111,41,78,33,69,61,2
110,156,94,63,172,78,156,63,141,15,78,78,125,2
94,15,78,16,78,63,110,47,62,410,109,172,125,2
187,78,78,63,172,78,156,63,141,125,78,78,125,2
93,32,63,32,187,78,94,78,47,20,109,16,93,2
125,32,94,16,62,63,94,31,63,32,63,46,125,2
78,78,78,32,187,78,94,78,47,125,109,16,93,2
62,141,63,219,62,1015,79,125,62,62,47,47,78,2
62,78,47,63,78,62,93,110,93,47,63,62,63,2
31,109,47,219,62,1015,79,125,62,63,47,47,78,2
109,125,78,63,109,109,78,93,203,47,79,31,78,2
94,16,78,31,110,78,109,110,62,78,78,31,94,2
