@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,9,10,11,13,14,18,19,20,22,23,25,26,27,28,29,31,35,37,39,42,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk7 numeric
@attribute dtsk8 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,78,16,250,47,94,15,62,47,78,141,31,16,16,78,63,31,2
15,94,31,16,47,78,172,16,49,78,94,31,968,125,78,63,31,2
93,62,16,250,47,78,31,78,968,78,141,31,16,16,15,63,31,2
16,62,32,109,63,32,140,78,94,359,47,16,16,62,78,47,46,2
359,63,15,47,94,359,78,16,78,94,15,62,94,16,78,63,47,2
78,78,15,109,94,59,32,78,94,359,47,16,16,62,15,47,46,2
437,78,94,140,62,94,141,94,78,109,94,62,78,109,78,78,78,2
15,94,62,78,62,109,62,125,78,63,109,62,109,78,78,78,63,2
110,94,47,140,78,63,78,78,109,109,94,62,78,109,94,78,78,2
4369,69,166,80,110,65,101,79,80,78,111,41,63,109,37,33,69,2
4,98,49,78,65,78,94,81,78,150,94,94,141,141,13,78,63,2
6,79,21,80,103,109,31,31,141,78,111,41,63,109,15,33,69,2
156,94,172,172,109,63,78,78,94,78,63,141,78,125,63,78,78,2
15,78,62,78,109,78,94,15,94,63,47,62,109,62,94,109,172,2
78,78,109,172,109,47,93,94,109,78,63,141,78,125,266,78,78,2
32,63,0,187,78,93,47,78,94,78,78,47,63,78,88,109,16,2
32,94,16,62,78,78,78,20,156,63,31,63,109,15,32,63,46,2
78,78,16,187,63,16,94,78,109,78,78,47,63,78,15,109,16,2
141,63,94,62,47,46,157,47,63,1015,125,62,63,62,188,47,47,2
78,47,125,78,78,1015,78,62,63,62,110,93,188,485,172,63,62,2
109,47,125,62,109,79,62,47,188,1015,125,62,63,62,125,47,47,2
125,78,109,109,125,78,109,94,110,109,93,203,94,78,78,79,31,2
16,78,63,110,187,109,79,47,94,78,110,62,94,62,78,78,31,2
0,94,15,109,110,78,78,78,94,109,93,203,94,78,31,79,31,2
47,110,93,79,140,47,109,46,78,79,62,109,110,94,78,94,16,2
16,62,47,78,124,79,62,31,94,93,93,140,78,0,32,93,32,2
31,46,110,79,125,62,16,94,78,79,62,109,110,94,32,94,16,2
31,79,46,140,90,78,62,62,47,78,94,47,78,78,78,94,16,2
0,62,579,94,93,78,172,16,78,78,94,78,94,31,15,62,16,2
