@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,7,8,9,11,16,17,18,19,23,24,25,26,27,29,39,41,42,43'

@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
63,78,94,94,219,98,109,63,94,93,78,78,110,46,94,46,63,63,94,110,1
47,94,78,94,187,78,15,63,94,78,47,94,93,78,125,63,109,63,16,78,1
62,78,94,110,234,78,0,63,94,93,78,78,110,46,94,46,63,63,31,110,1
171,94,156,156,32,140,31,109,141,15,94,250,31,125,125,16,114,78,109,125,1
63,125,63,110,78,187,109,78,94,62,93,125,93,94,110,93,110,62,140,78,1
125,94,156,125,79,140,15,94,94,15,94,250,31,125,125,16,114,125,0,125,1
78,78,141,141,62,125,63,78,140,47,63,62,140,63,109,78,16,0,110,110,1
16,78,63,0,15,125,78,0,172,78,63,78,93,32,31,109,187,94,15,94,1
110,78,141,187,0,94,63,62,78,47,63,62,140,63,109,78,16,78,141,110,1
109,297,203,203,15,137,16,94,78,157,125,94,78,109,141,94,78,94,109,109,1
125,93,78,156,16,137,0,94,94,110,79,109,63,141,375,78,109,15,78,78,1
62,297,203,0,47,140,16,172,78,157,125,94,78,109,141,94,78,78,15,109,1
109,110,203,203,78,109,47,110,110,156,125,109,63,78,109,110,93,78,94,94,1
93,125,62,0,15,109,109,78,110,79,94,78,110,109,94,94,172,79,78,78,1
63,110,203,0,47,125,31,110,78,156,125,109,63,78,109,110,93,94,484,94,1
141,109,78,78,32,31,47,31,78,94,62,47,125,47,62,47,63,31,78,0,1
47,31,16,531,625,31,79,31,31,31,62,94,0,62,47,109,31,32,78,31,1
62,109,78,671,193,31,32,93,16,94,62,47,125,47,62,47,63,0,79,0,1
141,110,125,125,31,125,125,203,203,125,93,47,141,31,31,16,63,46,109,15,1
125,16,94,0,0,125,16,46,16,47,79,0,93,47,1000,78,156,0,94,0,1
47,110,125,657,720,15,78,453,94,125,93,47,141,31,31,16,63,93,63,15,1
63,63,78,78,31,78,79,62,63,40,106,47,125,63,63,94,62,63,94,78,1
46,79,63,78,250,47,93,63,78,47,31,78,109,63,101,176,13,63,78,62,1
46,63,78,62,188,78,140,63,74,40,106,47,125,63,63,94,62,62,141,78,1
109,109,109,109,31,78,234,78,110,141,109,140,16,62,109,203,63,32,78,63,2
94,125,62,0,31,141,109,32,78,78,63,109,16,78,125,63,94,78,265,78,2
125,109,109,0,16,94,109,109,63,141,109,140,16,62,109,203,63,78,219,63,2
62,94,250,250,31,141,62,94,109,156,62,94,62,94,109,47,78,156,63,93,2
110,47,62,0,32,141,125,156,78,63,63,79,78,62,94,62,266,16,78,110,2
31,94,250,62,94,94,15,62,109,156,62,94,62,94,109,47,78,78,110,93,2
78,94,250,250,47,47,47,62,47,63,78,32,141,31,16,78,16,16,78,63,2
109,78,16,0,47,47,125,16,94,15,78,31,94,31,968,63,125,16,78,63,2
62,94,250,906,1000,47,203,78,91,63,78,32,141,31,16,78,16,110,15,63,2
62,78,109,109,31,63,32,78,62,16,359,218,47,16,16,47,62,16,78,47,2
